iter	Passed	Remaining
0	0	67
1	1	53
2	2	76
3	3	78
4	3	73
5	4	69
6	5	68
7	6	69
8	6	68
9	7	66
10	8	65
11	8	64
12	9	62
13	10	63
14	11	62
15	11	60
16	11	57
17	12	58
18	13	57
19	13	55
20	14	54
21	14	52
22	15	51
23	15	49
24	16	48
25	17	49
26	18	49
27	19	49
28	20	49
29	20	48
30	21	47
31	22	46
32	22	45
33	22	44
34	23	43
35	23	41
36	23	40
37	24	39
38	24	38
39	25	37
40	25	36
41	25	35
42	26	34
43	26	33
44	26	32
45	27	31
46	27	30
47	27	30
48	28	29
49	28	28
50	29	28
51	29	27
52	29	26
53	30	25
54	30	25
55	31	24
56	31	23
57	31	23
58	32	22
59	32	21
60	32	21
61	33	20
62	33	19
63	33	19
64	34	18
65	34	17
66	35	17
67	35	16
68	36	16
69	36	15
70	36	15
71	37	14
72	37	13
73	37	13
74	38	12
75	38	12
76	39	11
77	39	11
78	40	10
79	40	10
80	40	9
81	40	8
82	41	8
83	41	7
84	42	7
85	42	6
86	42	6
87	43	5
88	43	5
89	44	4
90	44	4
91	44	3
92	45	3
93	45	2
94	46	2
95	46	1
96	46	1
97	47	0
98	47	0
99	47	0
