iter	Passed	Remaining
0	52	52157
1	52	26405
2	53	17807
3	54	13524
4	55	10949
5	55	9224
6	56	7971
7	56	7033
8	57	6306
9	57	5734
10	59	5321
11	59	4935
12	60	4586
13	61	4300
14	61	4043
15	62	3815
16	62	3626
17	63	3445
18	63	3283
19	64	3139
20	64	3015
21	65	2908
22	66	2808
23	66	2717
24	67	2645
25	68	2566
26	70	2539
27	71	2467
28	71	2399
29	72	2344
30	73	2289
31	73	2229
32	74	2173
33	74	2122
34	75	2072
35	75	2029
36	76	1987
37	77	1950
38	77	1910
39	78	1874
40	78	1847
41	79	1815
42	80	1782
43	80	1750
44	81	1722
45	81	1693
46	82	1665
47	82	1639
48	83	1621
49	84	1596
50	84	1573
51	85	1551
52	85	1529
53	89	1572
54	90	1552
55	91	1538
56	91	1517
57	92	1498
58	92	1481
59	94	1473
60	94	1456
61	95	1439
62	95	1422
63	96	1405
64	96	1390
65	97	1374
66	97	1361
67	98	1347
68	99	1336
69	99	1325
70	100	1312
71	101	1309
72	102	1299
73	103	1290
74	103	1282
75	104	1269
76	105	1265
77	106	1253
78	106	1242
79	107	1231
80	107	1225
81	108	1215
82	108	1202
83	109	1193
84	110	1185
85	110	1176
86	111	1171
87	112	1162
88	112	1152
89	113	1143
90	113	1134
91	114	1126
92	114	1121
93	115	1114
94	116	1106
95	116	1097
96	117	1090
97	117	1082
98	118	1076
99	119	1073
100	119	1066
101	120	1059
102	120	1052
103	121	1049
104	122	1044
105	122	1036
106	123	1029
107	124	1024
108	124	1018
109	125	1013
110	126	1010
111	126	1003
112	127	997
113	127	991
114	128	987
115	128	982
116	129	976
117	129	971
118	130	966
119	131	963
120	132	959
121	132	954
122	133	952
123	134	946
124	134	941
125	135	936
126	135	931
127	136	927
128	136	924
129	137	920
130	138	916
131	138	911
132	139	906
133	139	904
134	140	899
135	141	896
136	141	891
137	142	887
138	143	888
139	144	886
140	145	884
141	145	878
142	145	874
143	146	871
144	147	868
145	147	864
146	148	859
147	148	855
148	149	851
149	149	846
150	149	842
151	150	837
152	150	833
153	150	829
154	151	824
155	154	834
156	156	841
157	157	838
158	159	843
159	160	840
160	160	836
161	161	834
162	161	831
163	162	828
164	163	826
165	163	823
166	164	819
167	164	816
168	165	814
169	166	812
170	166	809
171	167	806
172	189	904
173	190	905
174	191	902
175	192	901
176	193	897
177	193	895
178	194	892
179	195	889
180	196	887
181	196	883
182	196	879
183	197	875
184	198	872
185	198	868
186	198	864
187	199	861
188	199	857
189	200	853
190	200	850
191	201	848
192	202	844
193	202	841
194	202	837
195	204	839
196	205	836
197	205	832
198	207	837
199	208	835
200	209	833
201	210	830
202	210	827
203	211	824
204	212	822
205	212	819
206	213	817
207	216	822
208	216	819
209	216	816
210	217	812
211	217	809
212	218	807
213	219	807
214	220	804
215	220	801
216	221	798
217	222	796
218	222	793
219	222	790
220	223	787
221	224	788
222	225	785
223	225	782
224	226	779
225	226	776
226	227	774
227	228	772
228	228	769
229	229	768
230	230	765
231	230	763
232	231	760
233	231	757
